customer_id,time_spent,pages_viewed,basket_value,device_type,customer_type,purchase
501,42.19154112716496,10,0.0,Desktop,New,1
502,32.6296856143031,5,72.24919239394325,Mobile,Returning,1
503,19.262129360893336,3,62.933628922922274,Mobile,Returning,0
504,49.01390616270997,6,0.0,Unknown,New,1
505,41.39913918067888,4,66.64820598702012,Tablet,New,1
506,10.594399421348587,18,6.542305924512753,Tablet,New,0
507,54.74470388513671,9,80.90720638610824,Desktop,New,1
508,49.529697332466974,17,0.0,Mobile,New,1
509,57.038194884223515,13,25.13217160985314,Mobile,Returning,1
510,43.81745099491324,15,31.34895331283337,Mobile,Returning,1
511,37.1914965602116,10,43.055450419993626,Mobile,Returning,1
512,25.676339141146514,13,49.6396378010161,Desktop,New,1
513,56.03098051788678,16,0.0,Mobile,New,1
514,52.09776948052409,4,37.11177668125628,Mobile,New,1
515,34.04910894814101,5,56.007187203844374,Tablet,Returning,1
516,34.04910894814101,5,50.24837823000301,Mobile,Returning,1
517,23.21133864580493,10,30.572810132768023,Mobile,New,1
518,48.82264651612814,17,26.05428126736208,Mobile,Returning,1
519,59.24929162958173,13,68.25096628684513,Desktop,Returning,1
520,9.874596575108162,2,0.0,Desktop,New,1
521,36.05371220577597,13,51.7140906548379,Mobile,New,0
522,23.47256054123027,19,77.72586397970603,Desktop,Returning,1
523,58.22494947106159,3,0.0,Desktop,Returning,1
524,50.68501646500681,10,33.06816075479891,Tablet,New,1
525,50.46139357795713,2,15.310486629960671,Tablet,New,1
526,28.652896427903247,13,117.68816795413552,Tablet,New,1
527,25.47435063792225,19,71.39659461187959,Unknown,New,1
528,17.131017243911668,17,47.62814049025173,Mobile,Returning,1
529,34.04910894814101,10,73.5497173653847,Mobile,Returning,1
530,52.01862019904814,12,83.48826991265345,Mobile,New,1
531,48.96115953867458,12,83.16895074572213,Desktop,New,1
532,59.983342723881705,11,77.6511045530106,Tablet,New,1
533,59.80157338736042,7,42.12379030153815,Desktop,New,0
