customer_id,time_spent,pages_viewed,basket_value,purchase,device_type_Desktop,device_type_Mobile,device_type_Tablet,device_type_Unknown,customer_type_New,customer_type_Returning
1001,0.0938382519953575,0.1111111111111111,0.0591142146596211,0,0,0,0,1,0,1
1002,0.4907147384699379,0.1111111111111111,0.2894314970032721,1,1,0,0,0,0,1
1003,0.8589762568376256,0.8888888888888888,0.0176671411501129,1,0,0,1,0,0,1
1004,0.7024352186964824,0.3333333333333332,0.4707960463435911,1,0,0,1,0,0,1
1005,0.7851284891959939,0.7222222222222221,0.3337894008045977,1,0,0,1,0,0,1
1006,0.6207372783409225,0.8888888888888888,0.0,1,0,0,1,0,0,1
1007,0.6579958384576649,0.9444444444444444,0.0548918043241245,1,1,0,0,0,0,1
1008,0.8325560363787147,0.5,0.3591573136806513,1,0,0,0,1,0,1
1009,0.1656284755634642,0.9444444444444444,0.5317975683565892,0,0,0,1,0,0,1
1010,0.4323393153185754,0.5,0.0996431592391267,1,1,0,0,0,0,1
1011,0.133970547975111,0.0,0.4289522264750102,1,0,1,0,0,0,1
1012,0.9865956908277296,0.9444444444444444,0.1966054077238967,1,1,0,0,0,0,1
1013,0.9380844617955963,0.0,0.4353499545953992,1,1,0,0,0,0,1
1014,0.5110202630157923,0.6666666666666666,0.4108705201735709,1,0,0,1,0,0,1
1015,0.6727894986035113,0.5,0.3185692334118257,1,1,0,0,0,1,0
1016,0.9171586723808228,0.5555555555555555,0.0,1,0,1,0,0,0,1
1017,0.0887682969653285,0.4444444444444444,0.0,1,0,0,1,0,1,0
1018,0.5196869642912458,0.4444444444444444,0.3791928191777374,1,0,0,1,0,1,0
1019,0.9063014145106691,0.5,0.363178472951089,1,1,0,0,0,1,0
1020,0.5110202630157923,0.0,0.3256286303955261,1,0,1,0,0,1,0
1021,0.6637178050030572,0.8888888888888888,0.1377600827908185,1,0,1,0,0,1,0
1022,0.2186698530923083,0.0555555555555555,0.4807702766281924,1,1,0,0,0,1,0
1023,0.9162107533315652,0.6666666666666666,0.4484541296757153,1,0,1,0,0,1,0
1024,0.968118630185816,0.4444444444444444,0.1033784715018518,1,0,1,0,0,0,1
1025,0.9383148993135902,0.5,0.5212185142170316,0,1,0,0,0,0,1
1026,0.4154185502650317,0.2222222222222222,0.3144374776628562,0,0,1,0,0,0,1
1027,0.8468473173461196,0.5555555555555555,0.313994675512894,1,0,0,0,1,1,0
1028,0.8273874436739521,1.0,0.0,1,0,1,0,0,1,0
1029,0.2428666557815481,0.1111111111111111,0.2777781169566585,0,0,1,0,0,1,0
1030,0.8099959268981959,0.611111111111111,0.0,1,1,0,0,0,0,1
1031,0.5110202630157923,1.0,0.4720474412711544,1,0,1,0,0,0,1
1032,0.5511959173551175,1.0,0.468335761552984,1,0,1,0,0,0,1
1033,0.1437591864600687,0.6666666666666666,0.3236861073026432,0,1,0,0,0,0,1
1034,0.0220135844687271,0.3333333333333332,0.44688608327823,0,0,0,1,0,0,1
1035,0.5110202630157923,0.7777777777777777,0.1455362899068031,1,1,0,0,0,0,1
1036,0.6624591094486628,0.3333333333333332,0.3934296824593559,1,0,1,0,0,0,1
1037,0.2659766498935004,0.3888888888888888,0.2645779466937099,1,0,1,0,0,1,0
1038,0.6941386498455783,0.2222222222222222,0.0,0,0,0,1,0,1,0
1039,0.5110202630157923,0.5,0.0140867204057323,0,0,1,0,0,0,1
