customer_id,time_spent,pages_viewed,basket_value,device_type,customer_type,purchase
1,23.09786701199439,7.0,50.57464745173577,Mobile,Returning,0
2,57.09214407818505,3.0,56.89102241503565,Mobile,Returning,1
3,44.1876425668729,14.0,8.348295776849163,Mobile,Returning,0
4,36.32085056762516,10.0,43.48148909189529,Mobile,New,1
5,10.205099786103755,16.0,,Mobile,Returning,1
6,10.203676699835956,16.0,30.772869522557517,Desktop,Returning,0
7,,10.0,19.488899918256564,Mobile,Returning,0
8,52.10439260072118,13.0,78.23773564384393,Mobile,Returning,1
9,36.465785692849316,,30.66839213605916,Desktop,Returning,1
10,42.776282089966685,12.0,,Tablet,,0
11,,,,Desktop,New,1
12,58.224681277557664,,71.75598418019553,Tablet,Returning,1
13,50.114115807224884,4.0,26.119518043523673,Desktop,Returning,0
14,13.528007530018293,11.0,33.21011930648101,Mobile,Returning,0
15,11.727673065218937,18.0,30.528388387148823,Desktop,Returning,1
16,11.820866081352595,11.0,39.60039915709669,Desktop,Returning,1
17,18.950292334612726,4.0,83.20550546569466,Mobile,New,1
18,31.960629466302034,18.0,46.578224828829306,Mobile,New,1
19,26.48475609988483,,75.18780637001616,Desktop,Returning,0
20,18.182519271684473,7.0,20.935051053597412,Mobile,Returning,1
21,37.09932078862039,6.0,38.48928741257048,Desktop,New,1
22,9.230137778470468,15.0,78.62041447541921,Mobile,New,1
23,18.23653426357787,18.0,25.83183804721222,Desktop,Returning,1
24,22.61534875432781,,80.36409382725591,Desktop,Returning,1
25,27.90812906880512,15.0,31.148477270145854,Mobile,Returning,1
26,47.3253817221878,16.0,40.350124548247415,Mobile,Returning,1
27,12.780753147343225,7.0,100.10487762046775,Desktop,Returning,1
28,31.339831866403085,10.0,36.925430685013055,Tablet,Returning,1
29,35.952459562860504,12.0,54.360374082519044,Tablet,Returning,1
30,,14.0,68.4930926756521,Mobile,Returning,0
31,36.84514626218486,5.0,56.79525949016034,Desktop,Returning,1
32,11.0609232975502,18.0,57.6516004666873,Mobile,Returning,1
33,,5.0,,Mobile,Returning,0
34,56.98424669794666,3.0,10.932823729510318,Mobile,New,1
35,57.972289951399006,5.0,60.44867990299276,Desktop,New,1
36,48.69544353887121,17.0,28.02594628965037,Mobile,New,1
37,18.97221238122887,19.0,73.2730165220953,Mobile,New,1
38,,19.0,91.16184271849056,Desktop,New,1
39,41.369748564217254,12.0,0.0,Desktop,New,1
40,26.968997130636478,9.0,91.21423482281313,Mobile,New,1
41,8.20025585584195,1.0,37.6682662439887,Mobile,Returning,1
42,30.21543769656494,18.0,46.071523334465816,Mobile,Returning,1
43,,4.0,22.628376424628307,Mobile,,0
44,54.64990372264814,10.0,55.6540318719883,Desktop,Returning,1
45,16.268018914400997,7.0,52.00444649532216,Mobile,Returning,0
46,40.08881477688494,1.0,82.30768475878551,Desktop,Returning,1
47,19.390953489275248,,27.758201701092286,Tablet,Returning,1
48,31.68401324949084,2.0,99.82407205813726,Mobile,,1
49,33.2559064812535,11.0,69.9414225892667,Tablet,New,1
50,11.906412876006096,9.0,52.72906930326227,Mobile,Returning,1
51,58.205493038108955,7.0,44.57646908313527,Mobile,New,1
52,46.73283657830576,17.0,40.80291658598449,Mobile,Returning,1
53,56.43043755228716,17.0,42.75968676780486,Mobile,New,1
54,53.79481367523128,2.0,55.05205870806421,Mobile,New,0
55,36.27609874985402,6.0,43.73000117918803,Mobile,New,0
56,55.39057986636389,14.0,,Desktop,New,1
57,,6.0,55.23377884510107,Tablet,Returning,1
58,12.562988882729567,2.0,,Desktop,Returning,1
59,,1.0,59.67400703005241,Mobile,New,0
60,20.194489515032597,10.0,43.307988935577754,Desktop,New,0
61,23.93196009167944,,70.90192727695532,Desktop,New,1
62,17.00959287465986,2.0,79.6722263208643,Tablet,New,0
63,49.89551303996383,16.0,79.66041681034216,Tablet,Returning,0
64,22.04844627492177,2.0,59.54315168157878,Tablet,New,0
65,17.575136071555466,,63.044936623005356,Mobile,Returning,1
66,33.019068906336656,2.0,,Desktop,,1
67,9.314529273510995,16.0,,Mobile,New,1
68,48.32962186448834,16.0,73.7150408198517,Tablet,Returning,1
69,,19.0,2.9801253942641637,Mobile,Returning,1
70,59.22632925943052,7.0,61.35041586821791,Mobile,Returning,1
71,46.56244138850279,12.0,91.04389423126601,Mobile,Returning,1
72,12.724225210516172,15.0,39.31129116185647,Desktop,Returning,1
73,,8.0,32.76359071598362,Mobile,Returning,1
74,49.112224278835214,6.0,37.404096167410415,Mobile,New,1
75,42.70458328700941,10.0,4.853720215126202,Tablet,Returning,1
76,44.011422914418254,3.0,53.77951863346732,,Returning,1
77,46.5049504544708,19.0,50.89896320291754,Mobile,Returning,1
78,,17.0,55.91080498631903,Mobile,Returning,1
79,22.149477984112085,7.0,62.47929863653406,Tablet,Returning,1
80,7.836274511982653,4.0,26.060197934555703,Tablet,New,1
